ID	Target	Plasmid	8aB_rep1	8aB_rep2	8aB_rep3
A2M-1	A2M	810	0	530	243
A2M-2	A2M	587	88	30	0
A2M-3	A2M	1072	0	0	468
A2M-4	A2M	1452	0	0	337
A2M-5	A2M	495	0	0	475
A2M-6	A2M	1038	0	0	0
A3GALT2-1	A3GALT2	685	0	0	0
A3GALT2-2	A3GALT2	1238	0	0	679
A3GALT2-3	A3GALT2	1801	412	132	1961
A3GALT2-4	A3GALT2	609	0	0	0
A3GALT2-5	A3GALT2	218	0	0	0
A3GALT2-6	A3GALT2	451	0	0	0
A3GALT2-7	A3GALT2	722	0	125	0
A4GALT-1	A4GALT	1460	0	0	337
A4GALT-2	A4GALT	749	0	0	329
A4GALT-3	A4GALT	2446	0	316	838
A4GALT-4	A4GALT	473	0	0	0
A4GALT-5	A4GALT	76	0	0	0
A4GALT-6	A4GALT	2363	0	145	446
A4GALT-7	A4GALT	73	0	0	8
A4GNT-1	A4GNT	1078	0	515	383
A4GNT-2	A4GNT	117	0	0	0
A4GNT-3	A4GNT	143	633	0	0
A4GNT-4	A4GNT	444	1054	120	0
A4GNT-5	A4GNT	603	0	0	84
A4GNT-6	A4GNT	1382	0	304	4
A4GNT-7	A4GNT	1428	1011	0	614
AADAC-1	AADAC	63	0	0	0
AADAC-2	AADAC	2567	0	288	1825
AADAC-3	AADAC	935	0	0	0
AADAC-4	AADAC	1475	0	179	396
AADAC-5	AADAC	634	0	0	0
AADACL4-1	AADACL4	545	0	0	190
AADACL4-2	AADACL4	913	0	160	213
AADACL4-3	AADACL4	390	0	0	0
AADACL4-4	AADACL4	943	0	32	0
AADACL4-5	AADACL4	604	0	0	11
AADACL4-6	AADACL4	305	420	0	105
AADACL4-7	AADACL4	1587	0	297	487
AARS-1	AARS	0	0	0	0
AARS-2	AARS	1414	0	319	475
AARS-3	AARS	1810	0	459	18
AARS-4	AARS	651	0	0	438
AARS-5	AARS	413	0	0	196
AARS-6	AARS	1919	0	523	1357
AARS-7	AARS	314	0	334	548
AASDH-1	AASDH	1256	376	236	535
AASDH-2	AASDH	1012	0	0	698
AASDH-3	AASDH	694	0	501	285
AASDH-4	AASDH	901	0	0	235
AASDH-5	AASDH	634	0	0	370
AASDH-6	AASDH	1293	0	0	607
AASDH-7	AASDH	1469	1438	931	311
AATK-1	AATK	1058	0	0	333
AATK-10	AATK	1084	669	0	636
AATK-11	AATK	1143	0	0	166
AATK-12	AATK	1564	0	0	4
AATK-13	AATK	1132	0	1097	0
AATK-14	AATK	254	0	0	3
AATK-2	AATK	1376	0	669	206
AATK-3	AATK	188	0	330	0
AATK-4	AATK	204	0	0	0
AATK-5	AATK	936	0	0	0
AATK-6	AATK	574	0	0	1100
AATK-7	AATK	961	0	0	0
AATK-8	AATK	1935	429	0	0
AATK-9	AATK	1524	1783	558	354
ABCA10-1	ABCA10	2121	0	0	0
ABCA10-2	ABCA10	1174	308	128	21
ABCA10-3	ABCA10	556	0	0	1
ABCA10-4	ABCA10	1189	609	0	182
ABCA10-5	ABCA10	432	0	1	0
ABCA1-1	ABCA1	239	0	0	0
ABCA1-2	ABCA1	1103	0	1	1
ABCA12-1	ABCA12	801	0	656	0
ABCA12-2	ABCA12	771	0	170	253
ABCA12-3	ABCA12	388	0	0	446
ABCA12-4	ABCA12	1846	0	183	777
ABCA12-5	ABCA12	5	0	0	0
ABCA12-6	ABCA12	1389	0	0	1128
ABCA12-7	ABCA12	1634	1125	671	30
ABCA12-8	ABCA12	1255	0	225	218
ABCA1-3	ABCA1	582	0	0	109
ABCA13-1	ABCA13	1886	0	211	1024
ABCA13-2	ABCA13	167	0	0	0
ABCA13-3	ABCA13	1645	0	552	97
ABCA13-4	ABCA13	473	0	0	1
ABCA13-5	ABCA13	1441	0	0	1830
ABCA13-6	ABCA13	1137	0	181	113
ABCA13-7	ABCA13	316	0	0	0
ABCA13-8	ABCA13	2227	0	2	49
ABCA13-9	ABCA13	1047	0	0	0
ABCA1-4	ABCA1	141	0	0	0
ABCA1-5	ABCA1	514	0	264	0
ABCA1-6	ABCA1	887	0	0	140
ABCA1-7	ABCA1	0	0	0	0
ABCA2-1	ABCA2	716	0	0	20
ABCA2-10	ABCA2	861	0	261	0
ABCA2-11	ABCA2	443	0	46	0
ABCA2-12	ABCA2	627	0	0	0
ABCA2-2	ABCA2	1184	0	1	576
ABCA2-3	ABCA2	975	0	0	223
ABCA2-4	ABCA2	1535	1039	1481	705
ABCA2-5	ABCA2	1032	0	0	895
ABCA2-6	ABCA2	1329	0	0	1104
ABCA2-7	ABCA2	353	1683	0	0
ABCA2-8	ABCA2	1077	0	144	0
ABCA2-9	ABCA2	30	0	0	0
ABCA3-1	ABCA3	638	0	369	968
ABCA3-2	ABCA3	42	0	0	0
ABCA3-3	ABCA3	1105	447	1	2
ABCA3-4	ABCA3	1572	293	0	0
ABCA3-5	ABCA3	577	0	0	15
ABCA3-6	ABCA3	717	0	0	1
ABCA3-7	ABCA3	667	0	517	391
ABCA4-1	ABCA4	1214	0	0	209
ABCA4-2	ABCA4	545	0	0	430
ABCA4-3	ABCA4	2175	1	230	251
ABCA4-4	ABCA4	298	0	0	12
ABCA4-5	ABCA4	295	0	0	0
ABCA4-6	ABCA4	211	0	0	0
ABCA4-7	ABCA4	1260	0	127	700
ABCA5-1	ABCA5	690	0	0	1
ABCA5-2	ABCA5	320	0	151	0
ABCA5-3	ABCA5	301	0	175	0
ABCA5-4	ABCA5	2088	0	206	274
ABCA5-5	ABCA5	560	0	0	0
ABCA5-6	ABCA5	1609	0	622	0
ABCA5-7	ABCA5	1928	1214	0	672
ABCA5-8	ABCA5	154	0	0	0
ABCA6-1	ABCA6	1654	0	748	755
ABCA6-2	ABCA6	1018	0	153	10
ABCA6-3	ABCA6	608	0	0	0
ABCA6-4	ABCA6	1389	0	1098	0
ABCA6-5	ABCA6	470	0	0	739
ABCA6-6	ABCA6	1185	0	0	714
ABCA7-1	ABCA7	2341	0	276	0
ABCA7-10	ABCA7	1540	491	0	179
ABCA7-11	ABCA7	868	0	165	8
ABCA7-12	ABCA7	1611	0	90	687
ABCA7-13	ABCA7	454	0	564	4
ABCA7-14	ABCA7	448	575	41	1
ABCA7-2	ABCA7	880	0	156	711
ABCA7-3	ABCA7	95	0	0	0
ABCA7-4	ABCA7	933	0	828	0
ABCA7-5	ABCA7	791	0	642	0
ABCA7-6	ABCA7	0	0	0	0
ABCA7-7	ABCA7	445	0	0	0
ABCA7-8	ABCA7	1196	1168	0	410
ABCA7-9	ABCA7	528	0	0	0
ABCA8-1	ABCA8	41	0	0	0
ABCA8-2	ABCA8	1514	0	1489	0
ABCA8-3	ABCA8	191	0	0	0
ABCA8-4	ABCA8	199	0	0	0
ABCA8-5	ABCA8	1230	0	45	10
ABCA8-6	ABCA8	287	0	0	312
ABCA9-1	ABCA9	13	0	0	0
ABCA9-2	ABCA9	1821	0	70	551
ABCA9-3	ABCA9	0	0	0	0
ABCA9-4	ABCA9	1382	0	468	545
ABCA9-5	ABCA9	916	0	0	242
ABCB10-1	ABCB10	1997	628	497	224
ABCB10-2	ABCB10	1034	637	358	161
ABCB10-3	ABCB10	941	956	151	1
ABCB10-4	ABCB10	31	0	0	0
ABCB10-5	ABCB10	408	0	644	1
ABCB10-6	ABCB10	1198	0	320	485
ABCB10-7	ABCB10	365	0	0	0
ABCB10-8	ABCB10	1327	0	386	0
ABCB10-9	ABCB10	317	1616	0	38
ABCB1-1	ABCB1	775	0	317	0
ABCB11-1	ABCB11	0	0	0	0
ABCB11-2	ABCB11	260	0	0	3
ABCB11-3	ABCB11	904	0	0	754
ABCB11-4	ABCB11	69	0	0	0
ABCB11-5	ABCB11	200	0	0	15
ABCB11-6	ABCB11	876	986	60	331
ABCB11-7	ABCB11	1951	1090	0	423
ABCB11-8	ABCB11	312	0	0	315
ABCB11-9	ABCB11	512	0	128	0
ABCB1-2	ABCB1	1527	0	0	222
ABCB1-3	ABCB1	857	0	352	0
ABCB1-4	ABCB1	749	0	0	205
ABCB1-5	ABCB1	1089	0	850	562
ABCB1-6	ABCB1	404	0	532	111
ABCB4-1	ABCB4	237	0	0	0
ABCB4-2	ABCB4	549	0	0	0
ABCB4-3	ABCB4	467	0	0	801
ABCB4-4	ABCB4	369	0	0	0
ABCB4-5	ABCB4	446	0	85	0
ABCB4-6	ABCB4	1283	0	257	0
ABCB4-7	ABCB4	1272	568	623	0
ABCB5-1	ABCB5	1594	0	136	1595
ABCB5-2	ABCB5	1199	0	0	439
ABCB5-3	ABCB5	468	0	0	0
ABCB5-4	ABCB5	711	623	0	236
ABCB5-5	ABCB5	188	0	0	286
ABCB5-6	ABCB5	1915	151	0	786
ABCB5-7	ABCB5	988	0	378	24
ABCB6-1	ABCB6	404	0	0	1
ABCB6-2	ABCB6	506	0	0	0
ABCB6-3	ABCB6	499	0	0	0
ABCB6-4	ABCB6	0	0	0	0
ABCB6-5	ABCB6	733	0	446	0
ABCB6-6	ABCB6	556	0	0	0
ABCB6-7	ABCB6	444	0	0	284
ABCB7-1	ABCB7	1100	0	0	0
ABCB7-2	ABCB7	213	0	1	215
ABCB7-3	ABCB7	1370	0	240	363
ABCB7-4	ABCB7	2007	0	277	1
ABCB7-5	ABCB7	594	0	0	258
ABCB7-6	ABCB7	556	0	0	160
ABCB7-7	ABCB7	268	0	0	0
ABCB8-1	ABCB8	360	0	0	442
ABCB8-10	ABCB8	0	0	0	0
ABCB8-11	ABCB8	716	0	0	0
ABCB8-12	ABCB8	191	0	0	0
ABCB8-13	ABCB8	648	0	0	0
ABCB8-14	ABCB8	830	842	683	0
ABCB8-2	ABCB8	704	0	418	504
ABCB8-3	ABCB8	2216	0	75	507
ABCB8-4	ABCB8	438	0	0	0
ABCB8-5	ABCB8	747	0	0	856
ABCB8-6	ABCB8	15	0	0	0
ABCB8-7	ABCB8	157	0	0	0
ABCB8-8	ABCB8	0	0	0	0
ABCB8-9	ABCB8	988	48	0	120
ABCB9-1	ABCB9	566	52	0	2
ABCB9-10	ABCB9	429	0	0	0
ABCB9-11	ABCB9	1182	0	157	5
ABCB9-12	ABCB9	241	0	0	0
