sgId	gene	untreated_day15Rep1	untreated_day15Rep2	RigosertibRep1	RigosertibRep2
Apoptosis+Cancer+Other_Cancer=negABCB7_-_74375996.25-NM_001271698	negative_control	1024	1196	1200	978
Apoptosis+Cancer+Other_Cancer=negACTL6A_+_179281031.25-NM_178042,NM_177989	negative_control	192	163	149	183
Apoptosis+Cancer+Other_Cancer=negACTL6A_-_179280960.23-NM_178042	negative_control	277	239	237	232
Apoptosis+Cancer+Other_Cancer=negACTL6A_-_179281347.23-NM_004301	negative_control	141	124	173	183
Apoptosis+Cancer+Other_Cancer=negADSL_-_40742429.24-NM_001123378	negative_control	489	538	579	502
Apoptosis+Cancer+Other_Cancer=negADSL_-_40742982.23-NM_001123378	negative_control	638	904	820	740
Apoptosis+Cancer+Other_Cancer=negAHCTF1_+_247095225.25-all	negative_control	495	517	521	546
Apoptosis+Cancer+Other_Cancer=negAKIRIN2_+_88411350.24-all	negative_control	394	454	373	404
Apoptosis+Cancer+Other_Cancer=negANLN_-_36428571.23-NM_018685	negative_control	353	404	502	337
Apoptosis+Cancer+Other_Cancer=negAP2M1_+_183891059.24-NM_001025205	negative_control	702	798	819	666
Apoptosis+Cancer+Other_Cancer=negAP2M1_+_183891582.24-NM_001025205	negative_control	762	777	805	909
Apoptosis+Cancer+Other_Cancer=negARCN1_+_118443458.25-NM_001142281	negative_control	491	459	585	586
Apoptosis+Cancer+Other_Cancer=negARCN1_-_118444046.23-NM_001655	negative_control	1067	1200	1000	991
Apoptosis+Cancer+Other_Cancer=negARPC2_+_219082816.23-NM_152862	negative_control	772	877	893	753
Apoptosis+Cancer+Other_Cancer=negASNA1_+_12849376.24-all	negative_control	992	815	1033	942
Apoptosis+Cancer+Other_Cancer=negASNA1_-_12847791.24-all	negative_control	1687	1920	1936	1934
Apoptosis+Cancer+Other_Cancer=negATP2A2_-_110719562.25-NM_001681	negative_control	152	163	176	178
Apoptosis+Cancer+Other_Cancer=negATP5A1_+_43677710.25-NM_001001935	negative_control	142	110	148	116
Apoptosis+Cancer+Other_Cancer=negATP5A1_+_43678251.24-NM_004046	negative_control	878	872	810	726
Apoptosis+Cancer+Other_Cancer=negATP5A1_+_43678344.23-NM_001001935	negative_control	207	192	379	246
Apoptosis+Cancer+Other_Cancer=negATP5A1_+_43680018.24-NM_001257334	negative_control	404	469	395	470
Apoptosis+Cancer+Other_Cancer=negATP5A1_+_43684691.25-NM_001001937	negative_control	79	103	102	103
Apoptosis+Cancer+Other_Cancer=negATP5A1_-_43676573.23-NM_004046	negative_control	843	915	960	783
Apoptosis+Cancer+Other_Cancer=negATP5A1_-_43679788.23-NM_001001935	negative_control	517	607	613	464
Apoptosis+Cancer+Other_Cancer=negATP5C1_-_7830074.24-NM_001001973	negative_control	510	555	501	519
Apoptosis+Cancer+Other_Cancer=negATP5C1_-_7831096.25-NM_001001973	negative_control	800	800	834	692
Apoptosis+Cancer+Other_Cancer=negATP6V0C_+_2563178.23-NM_001694	negative_control	418	466	380	399
Apoptosis+Cancer+Other_Cancer=negATP6V0C_+_2563647.25-NM_001198569	negative_control	123	120	112	138
Apoptosis+Cancer+Other_Cancer=negATP6V0C_+_2564619.23-NM_001198569	negative_control	314	358	270	370
Apoptosis+Cancer+Other_Cancer=negATP6V0C_-_2562240.24-NM_001198569	negative_control	549	651	586	588
Apoptosis+Cancer+Other_Cancer=negATP6V0C_-_2564935.23-NM_001694	negative_control	598	728	550	592
Apoptosis+Cancer+Other_Cancer=negATP6V0C_-_2564956.23-NM_001198569	negative_control	654	643	606	634
Apoptosis+Cancer+Other_Cancer=negATP6V0C_-_2565467.24-NM_001694	negative_control	1032	1245	1380	1130
Apoptosis+Cancer+Other_Cancer=negATP6V1A_+_113464722.21-all	negative_control	888	1035	1067	1055
Apoptosis+Cancer+Other_Cancer=negATP6V1F_+_128502459.24-NM_004231	negative_control	515	474	455	597
Apoptosis+Cancer+Other_Cancer=negATP6V1F_-_128502889.25-NM_004231	negative_control	436	473	554	533
Apoptosis+Cancer+Other_Cancer=negBANP_+_87983596.23-NM_079837	negative_control	891	1132	1304	1367
Apoptosis+Cancer+Other_Cancer=negBANP_+_87984001.24-NM_001173540	negative_control	625	680	704	646
Apoptosis+Cancer+Other_Cancer=negBANP_+_87985127.25-NM_001173541	negative_control	134	162	162	117
Apoptosis+Cancer+Other_Cancer=negBANP_-_87986694.25-NM_001173539	negative_control	429	537	521	491
Apoptosis+Cancer+Other_Cancer=negBCL2L1_+_30309725.25-NM_138578	negative_control	620	590	558	571
Apoptosis+Cancer+Other_Cancer=negBCL2L1_-_30311643.24-all	negative_control	307	302	284	279
Apoptosis+Cancer+Other_Cancer=negBCL2_-_60985336.22-NM_000633	negative_control	687	639	637	572
Apoptosis+Cancer+Other_Cancer=negBCL2_-_60985751.24-NM_000657	negative_control	796	759	769	782
Apoptosis+Cancer+Other_Cancer=negBTF3_-_72794707.24-NM_001207	negative_control	78	88	95	76
Apoptosis+Cancer+Other_Cancer=negBUD31_+_99008191.23-all	negative_control	1121	1004	1292	1172
Apoptosis+Cancer+Other_Cancer=negC9orf114_+_131590987.25-all	negative_control	521	503	516	487
Apoptosis+Cancer+Other_Cancer=negCCT7_+_73460103.24-NR_029403	negative_control	477	670	697	712
Apoptosis+Cancer+Other_Cancer=negCCT7_+_73460184.24-NM_006429,NR_029403,NM_001166285,NR_029402	negative_control	1124	1410	1168	1098
Apoptosis+Cancer+Other_Cancer=negCCT7_+_73460965.25-NR_029402	negative_control	352	362	329	287
Apoptosis+Cancer+Other_Cancer=negCCT7_-_73460250.25-NM_001009570	negative_control	342	316	303	233
Apoptosis+Cancer+Other_Cancer=negCCT7_-_73460416.25-NM_001166285	negative_control	352	367	286	298
Apoptosis+Cancer+Other_Cancer=negCCT7_-_73460726.25-NM_001166285	negative_control	362	351	405	389
Apoptosis+Cancer+Other_Cancer=negCCT8_+_30446217.25-NM_001282909	negative_control	816	809	742	729
Apoptosis+Cancer+Other_Cancer=negCDC123_+_12237134.25-all	negative_control	348	329	313	373
Apoptosis+Cancer+Other_Cancer=negCDC27_-_45265821.24-NM_001114091	negative_control	423	543	502	477
Apoptosis+Cancer+Other_Cancer=negCDC40_+_110500267.24-all	negative_control	238	265	266	243
Apoptosis+Cancer+Other_Cancer=negCDC40_+_110500633.21-all	negative_control	978	948	1123	1055
Apoptosis+Cancer+Other_Cancer=negCDC40_-_110502227.25-all	negative_control	588	491	598	533
Apoptosis+Cancer+Other_Cancer=negCDC45_+_19466584.24-NM_001178010	negative_control	424	393	619	568
Apoptosis+Cancer+Other_Cancer=negCDC45_+_19466918.23-NM_003504	negative_control	345	390	360	381
Apoptosis+Cancer+Other_Cancer=negCDC45_-_19467162.24-NM_003504	negative_control	929	1117	962	915
Apoptosis+Cancer+Other_Cancer=negCDC45_-_19467507.23-NM_001178010	negative_control	222	210	191	264
Apoptosis+Cancer+Other_Cancer=negCDC5L_-_44355324.25-all	negative_control	50	46	41	21
Apoptosis+Cancer+Other_Cancer=negCDC73_-_193090831.25-all	negative_control	735	614	599	644
Apoptosis+Cancer+Other_Cancer=negCDC73_-_193092401.22-all	negative_control	882	1020	957	871
Apoptosis+Cancer+Other_Cancer=negCEP55_+_95255791.23-NM_001127182	negative_control	814	954	818	853
Apoptosis+Cancer+Other_Cancer=negCEP55_-_95255773.23-NM_018131	negative_control	459	471	503	394
Apoptosis+Cancer+Other_Cancer=negCFDP1_+_75468876.25-all	negative_control	320	352	208	199
Apoptosis+Cancer+Other_Cancer=negCFDP1_-_75466724.25-all	negative_control	444	375	471	422
Apoptosis+Cancer+Other_Cancer=negCFDP1_-_75467009.22-all	negative_control	729	837	878	814
Apoptosis+Cancer+Other_Cancer=negCHCHD4_+_14165885.25-NM_144636	negative_control	658	702	753	711
Apoptosis+Cancer+Other_Cancer=negCHCHD4_+_14167352.24-NM_144636	negative_control	757	774	729	738
Apoptosis+Cancer+Other_Cancer=negCHCHD4_-_14166244.22-NM_001098502	negative_control	521	633	870	529
Apoptosis+Cancer+Other_Cancer=negCHMP4B_+_32400066.24-all	negative_control	599	659	621	648
Apoptosis+Cancer+Other_Cancer=negCHMP6_+_78965639.23-all	negative_control	975	869	905	871
Apoptosis+Cancer+Other_Cancer=negCIRH1A_-_69167300.22-all	negative_control	632	712	672	603
Apoptosis+Cancer+Other_Cancer=negCKAP5_+_46866418.24-NM_014756	negative_control	517	581	470	614
Apoptosis+Cancer+Other_Cancer=negCKAP5_+_46867334.25-NM_001008938	negative_control	398	450	291	291
Apoptosis+Cancer+Other_Cancer=negCKAP5_+_46867614.22-NM_014756	negative_control	647	704	754	731
Apoptosis+Cancer+Other_Cancer=negCKAP5_+_46867844.25-NM_001008938	negative_control	140	144	123	98
Apoptosis+Cancer+Other_Cancer=negCKAP5_+_46868112.25-NM_001008938	negative_control	576	680	673	554
Apoptosis+Cancer+Other_Cancer=negCLNS1A_-_77348631.25-all	negative_control	1120	1105	467	477
Apoptosis+Cancer+Other_Cancer=negCLSPN_+_36237000.24-NM_022111	negative_control	753	1058	811	849
Apoptosis+Cancer+Other_Cancer=negCLTC_-_57695853.23-all	negative_control	836	957	936	990
Apoptosis+Cancer+Other_Cancer=negCNOT1_+_58662139.23-NM_016284,NM_206999	negative_control	802	875	854	757
Apoptosis+Cancer+Other_Cancer=negCOPA_+_160311768.24-NM_001098398	negative_control	400	505	447	400
Apoptosis+Cancer+Other_Cancer=negCOPA_-_160312441.24-NM_001098398	negative_control	454	580	459	538
Apoptosis+Cancer+Other_Cancer=negCOPS2_+_49447658.25-NM_004236	negative_control	572	682	683	683
Apoptosis+Cancer+Other_Cancer=negCOPS4_-_83956558.25-NM_016129	negative_control	243	272	287	218
