sgrnaID	gene	untreatedRep1	untreatedRep2	RigosertibRep1	RigosertibRep2
Apoptosis+Cancer+Other_Cancer=negAARS_+_70323267.23-all	NA	637	637	530	392
Apoptosis+Cancer+Other_Cancer=negABCB7_+_74375703.24-NM_001271698	NA	904	904	460	730
Apoptosis+Cancer+Other_Cancer=negABCB7_+_74375722.23-NM_004299	NA	944	944	642	676
Apoptosis+Cancer+Other_Cancer=negABCB7_+_74375858.23-NM_001271697	NA	799	799	571	534
Apoptosis+Cancer+Other_Cancer=negABCB7_-_74375060.25-NM_001271696	NA	702	702	447	493
Apoptosis+Cancer+Other_Cancer=negACTL6A_+_179280333.24-NM_178042	NA	769	769	640	488
Apoptosis+Cancer+Other_Cancer=negACTL6A_+_179281268.23-NM_004301	NA	766	766	596	604
Apoptosis+Cancer+Other_Cancer=negACTL6A_-_179280032.25-NM_177989	NA	604	604	486	493
Apoptosis+Cancer+Other_Cancer=negACTL6A_-_179280757.25-NM_177989	NA	550	550	443	384
Apoptosis+Cancer+Other_Cancer=negACTL6A_-_179281288.23-NM_177989	NA	716	716	372	483
Apoptosis+Cancer+Other_Cancer=negACTL6A_-_179281352.24-NM_177989	NA	932	932	633	669
Apoptosis+Cancer+Other_Cancer=negALG1_+_5120086.25-all	NA	758	758	595	558
Apoptosis+Cancer+Other_Cancer=negALG1_-_5121743.24-all	NA	586	586	461	503
Apoptosis+Cancer+Other_Cancer=negANAPC1_+_112641682.24-all	NA	921	921	679	639
Apoptosis+Cancer+Other_Cancer=negANAPC1_-_112642054.25-all	NA	619	619	387	291
Apoptosis+Cancer+Other_Cancer=negANLN_+_36429417.22-NM_001284301	NA	1714	1714	1258	1462
Apoptosis+Cancer+Other_Cancer=negANLN_-_36429395.25-NM_018685	NA	307	307	202	201
Apoptosis+Cancer+Other_Cancer=negAP2M1_+_183891648.25-NM_001025205	NA	521	521	274	369
Apoptosis+Cancer+Other_Cancer=negAP2M1_-_183892237.24-NM_001025205	NA	819	819	755	586
Apoptosis+Cancer+Other_Cancer=negAP2M1_-_183892989.24-NM_001025205	NA	668	668	588	456
Apoptosis+Cancer+Other_Cancer=negARCN1_+_118441685.25-NM_001655	NA	735	735	507	481
Apoptosis+Cancer+Other_Cancer=negARCN1_+_118443243.25-NM_001655	NA	389	389	300	378
Apoptosis+Cancer+Other_Cancer=negARPC2_-_219080680.25-NM_152862	NA	850	850	636	741
Apoptosis+Cancer+Other_Cancer=negARPC2_-_219081735.23-NM_152862	NA	576	576	683	668
Apoptosis+Cancer+Other_Cancer=negARPC2_-_219082407.24-NM_005731	NA	319	319	235	260
Apoptosis+Cancer+Other_Cancer=negASNA1_-_12848354.22-all	NA	1114	1114	769	987
Apoptosis+Cancer+Other_Cancer=negASNA1_-_12848446.25-all	NA	654	654	397	572
Apoptosis+Cancer+Other_Cancer=negATP2A2_+_110719881.23-NM_170665	NA	1071	1071	764	832
Apoptosis+Cancer+Other_Cancer=negATP2A2_-_110719398.25-NM_170665	NA	941	941	638	696
Apoptosis+Cancer+Other_Cancer=negATP2A2_-_110719497.24-NM_001681	NA	909	909	582	664
Apoptosis+Cancer+Other_Cancer=negATP2A2_-_110720104.22-NM_170665	NA	679	679	532	527
Apoptosis+Cancer+Other_Cancer=negATP5A1_+_43677877.24-NM_001001935,NM_001257334	NA	1030	1030	732	840
Apoptosis+Cancer+Other_Cancer=negATP5A1_+_43679531.25-NM_001257334	NA	120	120	67	80
Apoptosis+Cancer+Other_Cancer=negATP5A1_+_43679547.25-NM_001257335	NA	1506	1506	1115	1120
Apoptosis+Cancer+Other_Cancer=negATP5A1_+_43679731.21-NM_001257334	NA	1042	1042	725	698
Apoptosis+Cancer+Other_Cancer=negATP5A1_+_43683247.25-NM_001001937	NA	1583	1583	1126	1231
Apoptosis+Cancer+Other_Cancer=negATP5A1_-_43678421.23-NM_004046	NA	679	679	479	590
Apoptosis+Cancer+Other_Cancer=negATP5A1_-_43678478.24-NM_001001935	NA	329	329	192	315
Apoptosis+Cancer+Other_Cancer=negATP5A1_-_43679611.25-NM_004046	NA	746	746	542	533
Apoptosis+Cancer+Other_Cancer=negATP5A1_-_43684169.25-NM_001001937	NA	491	491	296	363
Apoptosis+Cancer+Other_Cancer=negATP5C1_-_7829875.25-NM_005174	NA	366	366	238	276
Apoptosis+Cancer+Other_Cancer=negATP6V0C_+_2563758.23-NM_001694	NA	786	786	662	531
Apoptosis+Cancer+Other_Cancer=negATP6V0C_+_2564154.23-NM_001694	NA	321	321	332	327
Apoptosis+Cancer+Other_Cancer=negATP6V0C_-_2563277.22-NM_001694	NA	776	776	553	557
Apoptosis+Cancer+Other_Cancer=negATP6V0C_-_2563610.23-NM_001198569	NA	1018	1018	848	783
Apoptosis+Cancer+Other_Cancer=negATP6V0C_-_2564726.24-NM_001694	NA	570	570	519	519
Apoptosis+Cancer+Other_Cancer=negATP6V0C_-_2565027.24-all	NA	1237	1237	903	1037
Apoptosis+Cancer+Other_Cancer=negATP6V0C_-_2565027.25-NM_001198569	NA	945	945	653	644
Apoptosis+Cancer+Other_Cancer=negATP6V0C_-_2565340.24-NM_001694	NA	944	944	616	719
Apoptosis+Cancer+Other_Cancer=negATP6V1F_+_128502797.24-NM_004231	NA	934	934	868	811
Apoptosis+Cancer+Other_Cancer=negATP6V1F_+_128503412.24-NM_004231	NA	1014	1014	814	671
Apoptosis+Cancer+Other_Cancer=negATP6V1F_+_128503543.25-NM_004231	NA	1024	1024	670	641
Apoptosis+Cancer+Other_Cancer=negATP6V1F_+_128504027.23-NM_004231	NA	1455	1455	945	1182
Apoptosis+Cancer+Other_Cancer=negATP6V1F_-_128504273.24-NM_004231	NA	647	647	421	403
Apoptosis+Cancer+Other_Cancer=negBANP_+_87983570.21-NM_017869	NA	1133	1133	732	856
Apoptosis+Cancer+Other_Cancer=negBANP_+_87983615.22-NM_001173540	NA	1009	1009	791	978
Apoptosis+Cancer+Other_Cancer=negBANP_+_87983734.22-NM_079837	NA	1353	1353	988	1017
Apoptosis+Cancer+Other_Cancer=negBANP_+_87984152.24-NM_001173539	NA	746	746	602	613
Apoptosis+Cancer+Other_Cancer=negBANP_+_87984244.23-NM_017869	NA	1008	1008	796	654
Apoptosis+Cancer+Other_Cancer=negBANP_+_87984520.23-NM_001173539	NA	587	587	430	509
Apoptosis+Cancer+Other_Cancer=negBANP_+_87985235.25-NM_001173539,NM_079837	NA	320	320	272	246
Apoptosis+Cancer+Other_Cancer=negBANP_+_87994178.24-NM_001173542	NA	1446	1446	1142	1158
Apoptosis+Cancer+Other_Cancer=negBANP_+_87994545.21-NM_001173542	NA	790	790	526	488
Apoptosis+Cancer+Other_Cancer=negBANP_-_87983353.25-NM_017869	NA	439	439	298	292
Apoptosis+Cancer+Other_Cancer=negBANP_-_87983584.25-NM_017869	NA	485	485	350	399
Apoptosis+Cancer+Other_Cancer=negBANP_-_87992959.24-NM_001173542	NA	843	843	610	652
Apoptosis+Cancer+Other_Cancer=negBANP_-_87993532.25-NM_001173542	NA	837	837	672	637
Apoptosis+Cancer+Other_Cancer=negBANP_-_87994044.24-NM_001173542	NA	392	392	327	370
Apoptosis+Cancer+Other_Cancer=negBANP_-_88002734.25-NM_001173543	NA	1307	1307	887	1102
Apoptosis+Cancer+Other_Cancer=negBANP_-_88002872.24-NM_001173543	NA	1112	1112	949	888
Apoptosis+Cancer+Other_Cancer=negBANP_-_88004417.25-NM_001173543	NA	928	928	786	806
Apoptosis+Cancer+Other_Cancer=negBCL2_+_60987107.22-NM_000657	NA	1108	1108	817	696
Apoptosis+Cancer+Other_Cancer=negBCL2_+_60988162.21-NM_000633	NA	471	471	307	338
Apoptosis+Cancer+Other_Cancer=negBCL2_-_60985738.24-NM_000633	NA	635	635	493	517
Apoptosis+Cancer+Other_Cancer=negBCL2_-_60987573.25-NM_000633	NA	453	453	330	374
Apoptosis+Cancer+Other_Cancer=negBCL2_-_60987882.24-NM_000633	NA	785	785	581	584
Apoptosis+Cancer+Other_Cancer=negBCL2_-_60987995.25-NM_000633	NA	1063	1063	736	879
Apoptosis+Cancer+Other_Cancer=negBRIX1_+_34915129.24-all	NA	525	525	440	408
Apoptosis+Cancer+Other_Cancer=negBRIX1_+_34916129.24-all	NA	834	834	636	538
Apoptosis+Cancer+Other_Cancer=negBRIX1_-_34916598.24-all	NA	1029	1029	765	848
Apoptosis+Cancer+Other_Cancer=negBTF3_+_72793174.23-NM_001037637	NA	1091	1091	850	710
Apoptosis+Cancer+Other_Cancer=negBUD31_+_99005931.21-all	NA	648	648	579	600
Apoptosis+Cancer+Other_Cancer=negC9orf114_+_131590483.24-all	NA	841	841	591	688
Apoptosis+Cancer+Other_Cancer=negC9orf114_+_131590516.23-all	NA	558	558	263	429
Apoptosis+Cancer+Other_Cancer=negC9orf114_-_131591807.23-all	NA	1007	1007	604	665
Apoptosis+Cancer+Other_Cancer=negC9orf114_-_131592172.25-all	NA	825	825	615	580
Apoptosis+Cancer+Other_Cancer=negCCT4_+_62115017.25-NM_001256721	NA	495	495	469	470
Apoptosis+Cancer+Other_Cancer=negCCT4_+_62116637.25-NM_006430	NA	878	878	680	738
Apoptosis+Cancer+Other_Cancer=negCCT4_-_62115644.25-NM_001256721	NA	893	893	553	597
Apoptosis+Cancer+Other_Cancer=negCCT5_+_10249842.25-all	NA	683	683	458	573
Apoptosis+Cancer+Other_Cancer=negCCT5_+_10250619.25-all	NA	813	813	501	508
Apoptosis+Cancer+Other_Cancer=negCCT5_+_10250763.22-all	NA	543	543	393	475
