sgRNA	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
6911	random	646	605	1987	813
6912	random	729	589	1962	669
6913	random	265	191	1098	208
6914	random	618	455	1781	606
6915	random	474	347	1655	492
6916	random	630	401	1872	609
6917	random	586	381	1530	590
6918	random	858	720	2673	1017
6919	random	498	487	1354	612
6920	random	771	739	2458	865
6921	random	766	698	2725	855
6922	random	434	274	1529	506
6923	random	865	537	2969	709
6924	random	225	215	924	321
6925	random	433	262	1489	403
6926	random	824	805	2071	952
6927	random	217	201	776	407
6928	random	1009	731	3150	1040
6929	random	267	201	615	273
6930	random	445	403	1659	411
6931	random	320	227	1010	338
6932	random	326	283	854	475
6933	random	510	453	1449	659
6934	random	337	385	1162	565
6935	random	843	811	2678	852
6936	random	224	203	791	223
6937	random	218	240	931	270
6938	random	130	95	541	213
6939	random	493	438	1464	681
6940	random	329	282	1127	575
6941	random	552	491	2203	765
6942	random	752	587	2116	875
6943	random	116	65	344	46
6944	random	419	342	1416	398
6945	random	313	201	924	291
6946	random	330	315	1099	460
6947	random	271	299	756	288
6948	random	658	543	2231	860
6949	random	912	753	3121	965
6950	random	180	200	675	394
6951	random	669	493	2314	877
6952	random	586	407	1510	480
6953	random	63	38	189	84
6954	random	466	388	1831	486
6955	random	534	323	1743	566
6956	random	278	422	1174	369
6957	random	929	533	2592	911
6958	random	250	203	900	303
6959	random	235	206	832	350
6960	random	271	203	1099	427
6961	random	746	709	3380	852
6962	random	904	771	3405	803
6963	random	140	118	392	133
6964	random	341	268	1184	465
6965	random	771	645	2004	891
6966	random	130	94	431	163
6967	random	330	203	1296	253
6968	random	677	428	2023	644
6969	random	543	497	1684	700
6970	random	898	675	2279	732
6971	random	530	436	1958	558
6972	random	711	723	2249	868
6973	random	535	461	1705	566
6974	random	307	293	1226	294
6975	random	249	325	898	431
6976	random	802	509	2492	831
6977	random	881	683	2768	846
6978	random	572	608	2211	976
6979	random	462	367	1903	569
6980	random	370	259	1007	384
6981	random	495	286	1826	391
6982	random	570	431	1752	482
6983	random	456	396	1184	429
6984	random	615	417	1995	590
6985	random	821	533	2482	850
6986	random	115	128	647	218
6987	random	660	498	2762	662
6988	random	429	313	1483	491
6989	random	274	248	711	244
6990	random	1140	885	3412	1232
