guide	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
cancer_common:non-targeting_00300	random	646	605	1987	813
cancer_common:non-targeting_00301	random	729	589	1962	669
cancer_common:non-targeting_00302	random	265	191	1098	208
cancer_common:non-targeting_00303	random	618	455	1781	606
cancer_common:non-targeting_00304	random	474	347	1655	492
cancer_common:non-targeting_00305	random	630	401	1872	609
cancer_common:non-targeting_00306	random	586	381	1530	590
cancer_common:non-targeting_00307	random	858	720	2673	1017
cancer_common:non-targeting_00308	random	498	487	1354	612
cancer_common:non-targeting_00309	random	771	739	2458	865
cancer_common:non-targeting_00310	random	766	698	2725	855
cancer_common:non-targeting_00311	random	434	274	1529	506
cancer_common:non-targeting_00312	random	865	537	2969	709
cancer_common:non-targeting_00313	random	225	215	924	321
cancer_common:non-targeting_00314	random	433	262	1489	403
cancer_common:non-targeting_00315	random	824	805	2071	952
cancer_common:non-targeting_00316	random	217	201	776	407
cancer_common:non-targeting_00317	random	1009	731	3150	1040
cancer_common:non-targeting_00318	random	267	201	615	273
cancer_common:non-targeting_00319	random	445	403	1659	411
cancer_common:non-targeting_00320	random	320	227	1010	338
cancer_common:non-targeting_00321	random	326	283	854	475
cancer_common:non-targeting_00322	random	510	453	1449	659
cancer_common:non-targeting_00323	random	337	385	1162	565
cancer_common:non-targeting_00324	random	843	811	2678	852
cancer_common:non-targeting_00325	random	224	203	791	223
cancer_common:non-targeting_00326	random	218	240	931	270
cancer_common:non-targeting_00327	random	130	95	541	213
cancer_common:non-targeting_00328	random	493	438	1464	681
cancer_common:non-targeting_00329	random	329	282	1127	575
cancer_common:non-targeting_00330	random	552	491	2203	765
cancer_common:non-targeting_00331	random	752	587	2116	875
cancer_common:non-targeting_00332	random	116	65	344	46
cancer_common:non-targeting_00333	random	419	342	1416	398
cancer_common:non-targeting_00334	random	313	201	924	291
cancer_common:non-targeting_00335	random	330	315	1099	460
cancer_common:non-targeting_00336	random	271	299	756	288
cancer_common:non-targeting_00337	random	658	543	2231	860
cancer_common:non-targeting_00338	random	912	753	3121	965
cancer_common:non-targeting_00339	random	180	200	675	394
cancer_common:non-targeting_00340	random	669	493	2314	877
cancer_common:non-targeting_00341	random	586	407	1510	480
cancer_common:non-targeting_00342	random	63	38	189	84
cancer_common:non-targeting_00343	random	466	388	1831	486
cancer_common:non-targeting_00344	random	534	323	1743	566
cancer_common:non-targeting_00345	random	278	422	1174	369
cancer_common:non-targeting_00346	random	929	533	2592	911
cancer_common:non-targeting_00347	random	250	203	900	303
cancer_common:non-targeting_00348	random	235	206	832	350
cancer_common:non-targeting_00349	random	271	203	1099	427
cancer_common:non-targeting_00350	random	746	709	3380	852
cancer_common:non-targeting_00351	random	904	771	3405	803
cancer_common:non-targeting_00352	random	140	118	392	133
cancer_common:non-targeting_00353	random	341	268	1184	465
cancer_common:non-targeting_00354	random	771	645	2004	891
cancer_common:non-targeting_00355	random	130	94	431	163
cancer_common:non-targeting_00356	random	330	203	1296	253
cancer_common:non-targeting_00357	random	677	428	2023	644
cancer_common:non-targeting_00358	random	543	497	1684	700
cancer_common:non-targeting_00359	random	898	675	2279	732
cancer_common:non-targeting_00360	random	530	436	1958	558
cancer_common:non-targeting_00361	random	711	723	2249	868
cancer_common:non-targeting_00362	random	535	461	1705	566
cancer_common:non-targeting_00363	random	307	293	1226	294
cancer_common:non-targeting_00364	random	249	325	898	431
cancer_common:non-targeting_00365	random	802	509	2492	831
cancer_common:non-targeting_00366	random	881	683	2768	846
cancer_common:non-targeting_00367	random	572	608	2211	976
cancer_common:non-targeting_00368	random	462	367	1903	569
cancer_common:non-targeting_00369	random	370	259	1007	384
cancer_common:non-targeting_00370	random	495	286	1826	391
cancer_common:non-targeting_00371	random	570	431	1752	482
cancer_common:non-targeting_00372	random	456	396	1184	429
cancer_common:non-targeting_00373	random	615	417	1995	590
cancer_common:non-targeting_00374	random	821	533	2482	850
cancer_common:non-targeting_00375	random	115	128	647	218
cancer_common:non-targeting_00376	random	660	498	2762	662
cancer_common:non-targeting_00377	random	429	313	1483	491
cancer_common:non-targeting_00378	random	274	248	711	244
cancer_common:non-targeting_00379	random	1140	885	3412	1232
cancer_common:non-targeting_00380	random	401	306	1053	307
cancer_common:non-targeting_00381	random	645	511	2722	602
cancer_common:non-targeting_00382	random	1105	806	3767	1144
cancer_common:non-targeting_00383	random	90	68	395	79
cancer_common:non-targeting_00384	random	445	435	1378	671
cancer_common:non-targeting_00385	random	434	266	1314	443
cancer_common:non-targeting_00386	random	541	339	1433	351
cancer_common:non-targeting_00387	random	177	174	723	184
cancer_common:non-targeting_00388	random	872	639	3562	820
cancer_common:non-targeting_00389	random	812	651	2752	767
cancer_common:non-targeting_00390	random	473	399	1459	559
cancer_common:non-targeting_00391	random	826	570	2185	593
cancer_common:non-targeting_00392	random	488	469	1384	666
cancer_common:non-targeting_00393	random	348	306	1161	432
cancer_common:non-targeting_00394	random	319	297	1047	453
cancer_common:non-targeting_00395	random	697	536	2561	659
cancer_common:non-targeting_00396	random	476	355	1592	430
cancer_common:non-targeting_00397	random	387	306	1017	410
cancer_common:non-targeting_00398	random	784	612	3795	860
cancer_common:non-targeting_00399	random	773	545	2632	647
cancer_common:non-targeting_00400	random	602	521	1915	618
cancer_common:non-targeting_00401	random	417	282	1771	382
cancer_common:non-targeting_00402	random	510	359	1993	447
cancer_common:non-targeting_00403	random	414	355	1496	453
cancer_common:non-targeting_00404	random	439	404	1171	581
cancer_common:non-targeting_00405	random	701	546	1818	753
cancer_common:non-targeting_00406	random	396	327	1094	443
cancer_common:non-targeting_00407	random	262	243	1411	286
cancer_common:non-targeting_00408	random	502	379	1613	460
cancer_common:non-targeting_00409	random	433	378	1595	618
cancer_common:non-targeting_00410	random	323	219	749	365
cancer_common:non-targeting_00411	random	464	406	1334	587
cancer_common:non-targeting_00412	random	630	463	1925	723
cancer_common:non-targeting_00413	random	514	394	1613	629
cancer_common:non-targeting_00414	random	809	820	2854	964
cancer_common:non-targeting_00415	random	353	279	1186	417
cancer_common:non-targeting_00416	random	548	455	1544	802
cancer_common:non-targeting_00417	random	802	720	2107	878
cancer_common:non-targeting_00418	random	564	515	1635	641
cancer_common:non-targeting_00419	random	1166	838	3625	1121
cancer_common:non-targeting_00420	random	363	349	759	551
cancer_common:non-targeting_00421	random	547	496	2204	699
cancer_common:non-targeting_00422	random	701	451	2500	580
cancer_common:non-targeting_00423	random	356	378	1212	437
cancer_common:non-targeting_00424	random	294	258	842	333
cancer_common:non-targeting_00425	random	418	341	1563	341
cancer_common:non-targeting_00426	random	906	677	2989	743
cancer_common:non-targeting_00427	random	403	379	1494	631
cancer_common:non-targeting_00428	random	277	229	657	411
cancer_common:non-targeting_00429	random	1041	814	3855	926
cancer_common:non-targeting_00430	random	215	91	454	135
cancer_common:non-targeting_00431	random	902	677	2709	672
cancer_common:non-targeting_00432	random	246	237	1047	263
cancer_common:non-targeting_00433	random	565	462	1536	630
cancer_common:non-targeting_00434	random	840	576	2157	732
cancer_common:non-targeting_00435	random	617	365	2051	585
cancer_common:non-targeting_00436	random	386	183	973	245
cancer_common:non-targeting_00437	random	304	210	831	257
cancer_common:non-targeting_00438	random	670	542	1762	852
cancer_common:non-targeting_00439	random	659	424	2198	645
cancer_common:non-targeting_00440	random	1004	747	3570	1214
cancer_common:non-targeting_00441	random	708	523	2349	823
cancer_common:non-targeting_00442	random	940	772	3433	911
cancer_common:non-targeting_00443	random	823	831	2419	1219
cancer_common:non-targeting_00444	random	270	249	1806	273
cancer_common:non-targeting_00445	random	656	471	1855	534
cancer_common:non-targeting_00446	random	649	581	2482	437
cancer_common:non-targeting_00447	random	421	274	1478	403
cancer_common:non-targeting_00448	random	384	223	1010	350
cancer_common:non-targeting_00449	random	275	219	891	139
cancer_common:non-targeting_00450	random	1046	615	3241	859
cancer_common:non-targeting_00451	random	252	257	509	418
cancer_common:non-targeting_00452	random	725	530	2232	744
cancer_common:non-targeting_00453	random	1230	882	2953	1227
cancer_common:non-targeting_00454	random	358	298	1190	492
cancer_common:non-targeting_00455	random	635	549	1876	553
cancer_common:non-targeting_00456	random	324	149	1127	185
cancer_common:non-targeting_00457	random	604	629	1856	892
cancer_common:non-targeting_00458	random	222	156	651	329
cancer_common:non-targeting_00459	random	582	455	1511	578
cancer_common:non-targeting_00460	random	375	348	908	480
cancer_common:non-targeting_00461	random	535	335	1079	335
cancer_common:non-targeting_00462	random	864	686	3004	812
cancer_common:non-targeting_00463	random	231	188	561	233
cancer_common:non-targeting_00464	random	282	247	1014	413
cancer_common:non-targeting_00465	random	1014	910	3174	1043
cancer_common:non-targeting_00466	random	173	201	828	222
cancer_common:non-targeting_00467	random	1027	981	2823	1264
cancer_common:non-targeting_00468	random	356	306	737	503
cancer_common:non-targeting_00469	random	399	389	1412	367
cancer_common:non-targeting_00470	random	840	655	3321	970
cancer_common:non-targeting_00471	random	848	552	3014	741
cancer_common:non-targeting_00472	random	639	435	1964	550
cancer_common:non-targeting_00473	random	253	118	853	256
cancer_common:non-targeting_00474	random	470	344	1343	680
cancer_common:non-targeting_00475	random	153	187	784	343
cancer_common:non-targeting_00476	random	788	410	2546	712
common:non-targeting_00000	random	551	563	1899	711
common:non-targeting_00001	random	691	629	2471	786
common:non-targeting_00002	random	361	272	920	422
common:non-targeting_00003	random	780	644	2537	894
common:non-targeting_00004	random	202	169	535	249
common:non-targeting_00005	random	665	506	2351	717
common:non-targeting_00006	random	446	426	1145	458
common:non-targeting_00007	random	412	477	1358	657
common:non-targeting_00008	random	216	163	703	251
common:non-targeting_00009	random	697	666	2553	963
common:non-targeting_00010	random	638	605	2027	786
common:non-targeting_00011	random	913	873	2626	1128
common:non-targeting_00012	random	808	629	1781	803
common:non-targeting_00013	random	954	786	3175	988
common:non-targeting_00014	random	799	663	2029	842
common:non-targeting_00015	random	190	141	661	262
common:non-targeting_00016	random	649	492	1933	750
common:non-targeting_00017	random	952	785	2691	1101
common:non-targeting_00018	random	534	367	1524	359
common:non-targeting_00019	random	367	236	1141	287
common:non-targeting_00020	random	304	286	938	424
common:non-targeting_00021	random	869	758	2517	836
common:non-targeting_00022	random	522	374	1661	457
common:non-targeting_00023	random	619	603	2132	724
common:non-targeting_00024	random	470	294	1669	399
common:non-targeting_00025	random	842	689	2451	780
common:non-targeting_00026	random	955	720	3175	1058
common:non-targeting_00027	random	444	412	1364	370
common:non-targeting_00028	random	645	487	1908	653
common:non-targeting_00029	random	687	497	1845	684
common:non-targeting_00030	random	782	609	2478	884
common:non-targeting_00031	random	1548	1212	4471	1458
common:non-targeting_00032	random	277	256	1104	383
common:non-targeting_00033	random	740	601	2438	764
common:non-targeting_00034	random	566	450	1930	672
common:non-targeting_00035	random	516	389	1290	582
common:non-targeting_00036	random	357	249	1132	256
common:non-targeting_00037	random	807	571	2437	637
common:non-targeting_00038	random	405	367	948	479
common:non-targeting_00039	random	685	499	2356	726
common:non-targeting_00040	random	668	519	2219	637
common:non-targeting_00041	random	1257	1037	4240	1173
common:non-targeting_00042	random	396	306	1039	328
common:non-targeting_00043	random	551	517	1427	560
common:non-targeting_00044	random	461	381	1457	611
common:non-targeting_00045	random	645	524	2137	915
common:non-targeting_00046	random	359	319	1193	610
common:non-targeting_00047	random	694	685	1815	707
