guide	plasmid	cas9T14Rep1	cas9T14Rep2	gene
A1BG_19_c_58864686.26-all	565	289	371	A1BG
A1BG_19_c_58864798.24-all	182	133	237	A1BG
A1BG_19_w_58864769.26-all	1140	511	1239	A1BG
A1BG_19_w_58864770.25-all	598	309	686	A1BG
A1CF_10_c_52603848.23-all	452	225	351	A1CF
A1CF_10_c_52603851.24-all	394	208	456	A1CF
A1CF_10_w_52603819.27-all	555	339	525	A1CF
A1CF_10_w_52603856.26-all	599	329	406	A1CF
A2ML1_12_c_8975277.27-all	690	309	662	A2ML1
A2ML1_12_w_8975261.26-all	548	252	304	A2ML1
A2ML1_12_w_8975278.27-all	1055	570	927	A2ML1
A2ML1_12_w_8975279.26-all	784	421	613	A2ML1
A2M_12_c_9268394.27-all	570	303	474	A2M
A2M_12_c_9268403.28-all	816	374	637	A2M
A2M_12_c_9268427.28-all	800	374	638	A2M
A2M_12_w_9268411.26-all	654	354	472	A2M
A4GALT_22_c_43089945.26-all	757	359	601	A4GALT
A4GALT_22_c_43089946.27-all	1342	601	994	A4GALT
A4GALT_22_c_43089947.27-all	1682	791	1394	A4GALT
A4GALT_22_c_43089952.27-all	462	241	134	A4GALT
A4GNT_3_c_137850063.26-all	904	409	552	A4GNT
A4GNT_3_c_137850074.25-all	1211	632	924	A4GNT
A4GNT_3_c_137850083.26-all	502	238	553	A4GNT
A4GNT_3_w_137850045.27-all	1064	527	1045	A4GNT
AAAS_12_c_53715221.24-all	444	223	546	AAAS
AAAS_12_c_53715224.28-all	701	346	970	AAAS
AAAS_12_c_53715227.27-all	468	209	429	AAAS
AAAS_12_c_53715228.28-all	790	384	764	AAAS
AACS_12_c_125550156.25-all	102	43	214	AACS
AACS_12_w_125550147.28-all	1023	491	1423	AACS
AACS_12_w_125550148.28-all	632	276	849	AACS
AACS_12_w_125550149.26-all	249	133	382	AACS
AADACL2_3_c_151451848.24-all	707	318	678	AADACL2
AADACL2_3_c_151451849.25-all	1646	814	1483	AADACL2
AADACL2_3_w_151451886.27-all	1408	658	1263	AADACL2
AADACL2_3_w_151451887.26-all	768	320	636	AADACL2
AADACL3_1_c_12780919.25-all	1097	428	752	AADACL3
AADACL3_1_c_12780934.27-all	543	232	684	AADACL3
AADACL3_1_c_12780940.27-all	620	277	484	AADACL3
AADACL3_1_w_12780888.28-all	1273	530	804	AADACL3
AADACL4_1_c_12704595.28-all	353	261	617	AADACL4
AADACL4_1_w_12704573.24-all	439	264	403	AADACL4
AADACL4_1_w_12704574.28-all	1722	876	1116	AADACL4
AADACL4_1_w_12704575.28-all	821	402	416	AADACL4
AADAC_3_c_151531983.27-all	797	474	771	AADAC
AADAC_3_c_151531984.28-all	1753	990	1709	AADAC
AADAC_3_w_151531970.27-all	620	282	539	AADAC
AADAC_3_w_151531988.27-all	798	404	537	AADAC
AADAT_4_c_171009694.23-all	692	339	707	AADAT
AADAT_4_c_171010803.25-all	266	140	362	AADAT
AADAT_4_w_171010781.27-all	600	261	502	AADAT
AADAT_4_w_171010816.23-all	828	459	780	AADAT
AAED1_9_c_99417547.26-all	365	173	439	AAED1
AAED1_9_c_99417548.28-all	704	387	871	AAED1
AAED1_9_c_99417549.26-all	1080	583	1068	AAED1
AAED1_9_c_99417553.27-all	422	218	418	AAED1
AAGAB_15_c_67546925.27-all	505	205	466	AAGAB
AAGAB_15_c_67546928.24-all	100	76	208	AAGAB
AAGAB_15_c_67546952.23-all	93	33	917	AAGAB
AAGAB_15_c_67546953.26-all	70	67	450	AAGAB
AAK1_2_c_69870152.27-all	571	281	515	AAK1
AAK1_2_w_69870123.26-all	755	349	583	AAK1
AAK1_2_w_69870137.27-all	782	382	840	AAK1
AAK1_2_w_69870138.26-all	387	191	402	AAK1
AAMDC_11_c_77553577.24-all	791	391	902	AAMDC
AAMDC_11_c_77553614.28-all	258	100	190	AAMDC
AAMDC_11_w_77553551.28-all	531	278	336	AAMDC
AAMDC_11_w_77553606.25-all	814	447	610	AAMDC
AAMP_2_c_219134768.24-all	200	123	445	AAMP
AAMP_2_c_219134771.26-all	331	141	470	AAMP
AAMP_2_c_219134801.22-all	394	213	822	AAMP
AAMP_2_w_219134784.22-all	219	119	661	AAMP
AANAT_17_w_74464832.28-all	357	152	316	AANAT
AANAT_17_w_74464844.27-all	1278	570	954	AANAT
AANAT_17_w_74464845.26-all	834	375	627	AANAT
AANAT_17_w_74464848.26-all	335	125	540	AANAT
AAR2_20_w_34827797.25-all	840	444	753	AAR2
AAR2_20_w_34827811.24-all	232	133	561	AAR2
AAR2_20_w_34827821.25-all	298	145	326	AAR2
AAR2_20_w_34827828.28-all	431	249	466	AAR2
AARD_8_c_117950527.24-all	322	140	256	AARD
AARD_8_c_117950528.25-all	632	328	696	AARD
AARD_8_c_117950529.26-all	942	528	1128	AARD
AARD_8_w_117950532.26-all	987	412	676	AARD
AARS2_6_c_44281034.24-all	167	85	474	AARS2
AARS2_6_w_44281018.28-all	561	359	894	AARS2
AARS2_6_w_44281021.27-all	305	210	431	AARS2
AARS2_6_w_44281027.27-all	190	78	421	AARS2
AARSD1_17_c_41116234.25-all	625	338	645	AARSD1
AARSD1_17_c_41116243.27-all	292	176	439	AARSD1
