Guide	Counts
A1BG_19_c_58864686.26-all	565
A1BG_19_c_58864798.24-all	182
A1BG_19_w_58864769.26-all	1140
A1BG_19_w_58864770.25-all	598
A1CF_10_c_52603848.23-all	452
A1CF_10_c_52603851.24-all	394
A1CF_10_w_52603819.27-all	555
A1CF_10_w_52603856.26-all	599
A2ML1_12_c_8975277.27-all	690
A2ML1_12_w_8975261.26-all	548
A2ML1_12_w_8975278.27-all	1055
A2ML1_12_w_8975279.26-all	784
A2M_12_c_9268394.27-all	570
A2M_12_c_9268403.28-all	816
A2M_12_c_9268427.28-all	800
A2M_12_w_9268411.26-all	654
A4GALT_22_c_43089945.26-all	757
A4GALT_22_c_43089946.27-all	1342
A4GALT_22_c_43089947.27-all	1682
A4GALT_22_c_43089952.27-all	462
A4GNT_3_c_137850063.26-all	904
A4GNT_3_c_137850074.25-all	1211
A4GNT_3_c_137850083.26-all	502
A4GNT_3_w_137850045.27-all	1064
AAAS_12_c_53715221.24-all	444
AAAS_12_c_53715224.28-all	701
AAAS_12_c_53715227.27-all	468
AAAS_12_c_53715228.28-all	790
AACS_12_c_125550156.25-all	102
AACS_12_w_125550147.28-all	1023
AACS_12_w_125550148.28-all	632
AACS_12_w_125550149.26-all	249
AADACL2_3_c_151451848.24-all	707
AADACL2_3_c_151451849.25-all	1646
AADACL2_3_w_151451886.27-all	1408
AADACL2_3_w_151451887.26-all	768
AADACL3_1_c_12780919.25-all	1097
AADACL3_1_c_12780934.27-all	543
AADACL3_1_c_12780940.27-all	620
AADACL3_1_w_12780888.28-all	1273
AADACL4_1_c_12704595.28-all	353
AADACL4_1_w_12704573.24-all	439
AADACL4_1_w_12704574.28-all	1722
AADACL4_1_w_12704575.28-all	821
AADAC_3_c_151531983.27-all	797
AADAC_3_c_151531984.28-all	1753
AADAC_3_w_151531970.27-all	620
AADAC_3_w_151531988.27-all	798
AADAT_4_c_171009694.23-all	692
AADAT_4_c_171010803.25-all	266
AADAT_4_w_171010781.27-all	600
AADAT_4_w_171010816.23-all	828
AAED1_9_c_99417547.26-all	365
AAED1_9_c_99417548.28-all	704
AAED1_9_c_99417549.26-all	1080
AAED1_9_c_99417553.27-all	422
