sgRNA	Gene	HL60initial	HL60final	KBM7initial	KBM7final
A1CF_m52595977	A1CF	213	883	274	175
A1CF_m52596017	A1CF	294	1554	412	1891
A1CF_m52596056	A1CF	421	566	368	759
A1CF_m52603842	A1CF	274	314	243	855
A1CF_m52603847	A1CF	0	145	50	266
A1CF_p52595870	A1CF	623	1503	583	1117
A1CF_p52595881	A1CF	486	1775	378	1585
A1CF_p52596023	A1CF	195	783	429	774
A1CF_p52601638	A1CF	744	1233	459	2407
A1CF_p52603829	A1CF	76	332	142	471
AAAS_m53714382	AAAS	704	799	671	1426
AAAS_m53715169	AAAS	651	797	627	1690
AAAS_m53715176	AAAS	545	392	89	664
AAAS_m53715212	AAAS	254	429	340	742
AAAS_m53715238	AAAS	32	421	135	77
AAAS_p53714367	AAAS	323	652	328	469
AAAS_p53714374	AAAS	293	856	261	968
AAAS_p53714391	AAAS	283	954	399	940
AAAS_p53714405	AAAS	1119	2212	856	2715
AAAS_p53714441	AAAS	273	1093	327	829
AAK1_m69870049	AAK1	364	693	465	2006
AAK1_m69870056	AAK1	635	2234	707	3515
AAK1_m69870103	AAK1	485	914	452	629
AAK1_m69870119	AAK1	405	806	275	837
AAK1_m69870125	AAK1	274	1822	350	2101
AAK1_m69870131	AAK1	754	1411	763	2637
AAK1_m69870137	AAK1	905	512	294	798
AAK1_p69870063	AAK1	330	364	167	1139
AAK1_p69870070	AAK1	991	1790	718	1682
AAK1_p69870105	AAK1	190	922	163	1118
AATF_m35306444	AATF	449	1396	456	1402
AATF_m35306475	AATF	493	1102	612	537
AATF_m35306482	AATF	569	743	726	311
AATF_m35306509	AATF	250	476	322	204
AATF_m35307516	AATF	353	995	356	540
AATF_m35307525	AATF	276	514	146	291
AATF_p35306410	AATF	1426	2494	1104	1101
AATF_p35306466	AATF	189	289	245	0
AATF_p35307505	AATF	677	1154	269	481
AATF_p35307527	AATF	1487	2761	835	3255
AATK_m79102275	AATK	621	4568	435	1109
AATK_m79102281	AATK	465	1736	460	2651
AATK_m79102298	AATK	726	2538	798	2676
AATK_m79102320	AATK	1003	1932	655	3223
AATK_m79102325	AATK	633	1874	722	2030
AATK_p79102286	AATK	1284	1844	562	1624
AATK_p79102311	AATK	73	843	184	281
AATK_p79104850	AATK	298	507	316	602
AATK_p79104858	AATK	284	905	346	852
AATK_p79104864	AATK	597	2244	640	2543
ABCB8_m150725643	ABCB8	407	1738	583	2951
ABCB8_m150725669	ABCB8	821	1510	425	1077
ABCB8_m150730720	ABCB8	100	464	150	433
ABCB8_p150725600	ABCB8	298	350	225	482
ABCB8_p150725605	ABCB8	102	1396	146	428
ABCB8_p150725612	ABCB8	251	1110	107	685
ABCB8_p150725675	ABCB8	642	975	426	2565
ABCB8_p150730680	ABCB8	526	1012	481	1108
ABCB8_p150730705	ABCB8	743	1400	522	2105
ABCB8_p150730712	ABCB8	170	999	215	1004
ABCC1_m16043636	ABCC1	48	563	208	817
ABCC1_m16043645	ABCC1	1095	1280	551	1793
ABCC1_m16101705	ABCC1	873	1320	593	1374
ABCC1_m16101777	ABCC1	476	1487	410	1117
ABCC1_m16101788	ABCC1	453	754	296	857
ABCC1_m16101799	ABCC1	497	779	511	1023
ABCC1_p16043597	ABCC1	209	484	232	581
ABCC1_p16101667	ABCC1	218	392	140	695
ABCC1_p16101710	ABCC1	36	323	15	392
ABCC1_p16101721	ABCC1	1007	1399	684	2741
ABCF1_m30539291	ABCF1	147	305	163	871
ABCF1_p30539251	ABCF1	767	589	675	647
ABCF1_p30539272	ABCF1	756	1503	585	1612
ABCF1_p30545181	ABCF1	792	2674	678	3651
ABCF1_p30545587	ABCF1	33	1055	140	435
ABCF1_p30545605	ABCF1	341	692	218	550
ABCF1_p30545610	ABCF1	1344	2581	1012	2254
ABCF1_p30545638	ABCF1	145	641	212	844
ABCF1_p30545878	ABCF1	1369	1687	1120	755
ABCF1_p30545888	ABCF1	180	701	199	335
ABHD14B_m52004073	ABHD14B	322	616	191	546
ABHD14B_m52004106	ABHD14B	304	823	222	595
ABHD14B_m52004113	ABHD14B	394	1469	367	905
ABHD14B_m52004122	ABHD14B	1220	1559	1034	2275
ABHD14B_p52004005	ABHD14B	127	529	234	826
ABHD14B_p52004011	ABHD14B	341	1060	358	1399
ABHD14B_p52004019	ABHD14B	28	268	160	454
ABHD14B_p52004061	ABHD14B	265	598	341	324
ABHD14B_p52004076	ABHD14B	1415	3286	1062	2836
ABHD14B_p52004124	ABHD14B	584	1254	546	1988
ABI1_m27149710	ABI1	433	1145	671	574
ABI1_m27149743	ABI1	961	1282	396	1685
ABI1_m27149751	ABI1	839	1142	489	929
ABI1_m27149764	ABI1	139	322	187	470
ABI1_p27112164	ABI1	1163	1935	932	2368
ABI1_p27112174	ABI1	1010	3367	740	2458
ABI1_p27112180	ABI1	310	532	214	667
ABI1_p27149695	ABI1	158	242	43	324
ABI1_p27149701	ABI1	475	2839	439	1808
ABI1_p27149733	ABI1	84	395	265	348
ABL1_m133729449	ABL1	408	2194	211	1051
ABL1_m133729456	ABL1	779	1893	555	837
ABL1_m133729467	ABL1	670	2105	449	689
ABL1_m133729488	ABL1	423	1091	367	62
ABL1_m133729532	ABL1	953	3447	825	2456
ABL1_m133729594	ABL1	531	1802	283	137
ABL1_p133729441	ABL1	429	785	235	491
ABL1_p133729469	ABL1	633	1603	614	2103
ABL1_p133729492	ABL1	752	1616	660	701
ABL1_p133729502	ABL1	527	1071	298	400
ABL2_m179100447	ABL2	970	2465	578	2558
ABL2_m179100544	ABL2	442	868	151	527
ABL2_m179100554	ABL2	718	1451	407	1761
ABL2_m179100597	ABL2	423	1458	431	1285
ABL2_p179095768	ABL2	364	1280	325	822
ABL2_p179100489	ABL2	1567	2727	840	3472
ABL2_p179100503	ABL2	647	1579	560	881
ABL2_p179100524	ABL2	471	1198	266	1935
ABL2_p179100556	ABL2	412	1336	283	813
ABL2_p179100578	ABL2	424	871	321	886
ABLIM2_m8108265	ABLIM2	1080	1816	672	2314
ABLIM2_m8108274	ABLIM2	372	2237	784	2717
ABLIM2_m8108279	ABLIM2	458	755	338	1004
ABLIM2_m8108294	ABLIM2	709	2947	1285	3905
ABLIM2_m8108316	ABLIM2	198	245	173	304
ABLIM2_m8160405	ABLIM2	909	2217	1005	2001
ABLIM2_p8108286	ABLIM2	637	1768	561	2749
ABLIM2_p8108299	ABLIM2	639	2576	836	3115
ABLIM2_p8108320	ABLIM2	102	155	38	410
ABLIM2_p8108331	ABLIM2	885	2079	652	1885
ABT1_m26597238	ABT1	332	495	207	771
ABT1_m26597359	ABT1	244	940	222	469
ABT1_m26597388	ABT1	1186	1327	1115	492
ABT1_p26597221	ABT1	1087	1689	825	1735
ABT1_p26597240	ABT1	81	294	213	225
ABT1_p26597266	ABT1	671	520	420	528
ABT1_p26597293	ABT1	356	534	391	1045
ABT1_p26597300	ABT1	1063	669	430	385
ABT1_p26597313	ABT1	21	378	101	323
ABT1_p26597361	ABT1	231	492	252	360
ABTB1_m127395233	ABTB1	407	765	308	550
ABTB1_m127395403	ABTB1	576	765	877	2182
ABTB1_m127395808	ABTB1	806	1408	366	1592
ABTB1_m127395813	ABTB1	335	1368	199	1279
ABTB1_m127395855	ABTB1	381	1765	500	1327
ABTB1_m127395860	ABTB1	643	1404	621	2053
ABTB1_p127395220	ABTB1	444	1291	627	518
ABTB1_p127395242	ABTB1	573	1353	802	1655
ABTB1_p127395252	ABTB1	358	652	225	1348
ABTB1_p127395834	ABTB1	342	656	485	1442
ACAD11_m132378487	ACAD11	372	1310	404	1207
ACAD11_m132378519	ACAD11	273	719	248	639
ACAD11_m132378564	ACAD11	673	1657	870	2599
ACAD11_m132378578	ACAD11	358	789	334	810
ACAD11_p132378460	ACAD11	1103	1294	627	1663
ACAD11_p132378489	ACAD11	510	1345	745	1522
ACAD11_p132378501	ACAD11	725	1432	418	1513
ACAD11_p132378525	ACAD11	557	1139	648	2025
ACAD11_p132378547	ACAD11	35	398	262	250
ACAD11_p132378566	ACAD11	462	713	438	1096
ACAD9_m128598565	ACAD9	503	4007	521	3584
ACAD9_m128598607	ACAD9	91	326	121	476
ACAD9_m128598614	ACAD9	460	2733	544	923
ACAD9_m128598631	ACAD9	272	446	343	699
ACAD9_m128598636	ACAD9	388	489	297	253
ACAD9_p128598519	ACAD9	433	921	425	393
ACAD9_p128598525	ACAD9	391	430	299	1624
ACAD9_p128598545	ACAD9	564	1072	619	706
ACAD9_p128598551	ACAD9	789	1776	752	2200
ACAD9_p128598592	ACAD9	627	791	436	821
