Spacer	Gene	KBM7initialRep1	KBM7finalRep1	KBM7initialRep2	KBM7finalRep2	K562initial	K562final	Jiyoyeinitial	Jiyoyefinal	Rajiinitial	Rajifinal
CTRL00001	CTRL	244	87	196	175	203	262	119	138	139	29
CTRL00002	CTRL	1061	754	1027	597	777	1848	193	255	373	146
CTRL00003	CTRL	703	537	532	327	370	891	70	174	270	123
CTRL00004	CTRL	680	689	407	277	434	559	140	74	179	80
CTRL00005	CTRL	1071	1111	1073	628	883	1489	227	243	494	131
CTRL00006	CTRL	1609	1354	1127	991	981	2057	268	318	423	226
CTRL00007	CTRL	748	641	668	538	502	1186	162	178	223	130
CTRL00008	CTRL	2478	1735	1952	1889	2036	3235	342	547	1077	448
CTRL00009	CTRL	2157	1938	1754	1521	1385	1930	489	601	776	359
CTRL00010	CTRL	461	334	361	465	370	652	108	84	161	78
CTRL00011	CTRL	454	238	253	370	404	371	255	107	260	69
CTRL00012	CTRL	1921	1525	1349	1238	1255	2337	327	365	578	262
CTRL00013	CTRL	1038	813	1069	758	862	1454	274	297	412	236
CTRL00014	CTRL	1794	1286	1454	1062	1523	2151	489	380	590	236
CTRL00015	CTRL	155	66	151	113	163	42	27	16	65	29
CTRL00016	CTRL	248	245	117	84	161	241	53	61	143	28
CTRL00017	CTRL	531	393	615	275	508	948	220	163	254	90
CTRL00018	CTRL	695	421	443	317	513	483	113	116	280	79
CTRL00019	CTRL	572	387	341	367	369	783	172	86	212	92
CTRL00020	CTRL	1189	695	1055	830	750	1106	360	273	394	166
CTRL00021	CTRL	606	791	627	594	561	1104	71	180	219	106
CTRL00022	CTRL	432	224	478	309	494	508	84	128	264	72
CTRL00023	CTRL	1316	1089	1132	1081	979	1766	249	468	532	258
CTRL00024	CTRL	1382	1240	1035	779	1000	1563	164	423	537	190
CTRL00025	CTRL	968	439	785	609	454	542	42	160	230	89
CTRL00026	CTRL	865	545	542	641	517	709	134	240	272	111
CTRL00027	CTRL	1	1	1	0	1	1	0	0	0	0
CTRL00028	CTRL	305	266	131	610	120	354	34	58	116	9
CTRL00029	CTRL	2551	2279	2253	1720	2205	3292	532	705	1473	495
CTRL00030	CTRL	709	524	453	301	613	722	163	166	215	111
CTRL00031	CTRL	1115	949	765	576	653	817	192	216	370	113
CTRL00032	CTRL	965	782	887	681	873	1991	415	373	461	225
CTRL00033	CTRL	775	1294	863	505	711	1119	118	328	373	117
CTRL00034	CTRL	604	256	382	478	384	536	170	153	204	81
CTRL00035	CTRL	1159	702	864	593	1141	963	314	390	655	189
CTRL00036	CTRL	286	133	279	149	286	563	56	63	102	80
CTRL00037	CTRL	112	50	167	81	97	148	8	33	46	13
CTRL00038	CTRL	1045	840	777	628	865	1277	249	223	403	201
CTRL00039	CTRL	470	781	454	444	271	580	63	156	199	90
CTRL00040	CTRL	1018	431	711	510	877	1312	300	189	432	129
CTRL00041	CTRL	1303	1101	1078	948	819	1402	255	395	449	160
CTRL00042	CTRL	981	1049	511	542	795	1397	109	327	481	127
CTRL00043	CTRL	482	480	379	363	329	607	97	173	167	62
CTRL00044	CTRL	434	366	451	440	310	590	143	177	192	70
CTRL00045	CTRL	3119	3144	2949	1720	2652	4158	469	697	1125	422
CTRL00046	CTRL	339	110	285	169	284	529	78	85	111	74
CTRL00047	CTRL	1185	957	1299	567	1044	2009	327	343	420	151
CTRL00048	CTRL	102	189	90	60	92	299	9	19	27	4
CTRL00049	CTRL	514	214	447	193	347	609	228	238	253	99
CTRL00050	CTRL	1237	855	760	828	790	1382	355	300	509	148
CTRL00051	CTRL	83	22	34	55	19	42	13	1	55	2
CTRL00052	CTRL	1055	787	976	769	691	1256	130	201	386	147
CTRL00053	CTRL	565	427	523	220	434	946	203	167	170	116
CTRL00054	CTRL	85	24	86	69	54	293	17	33	57	13
CTRL00055	CTRL	829	725	641	436	566	1297	161	232	340	195
CTRL00056	CTRL	293	256	171	148	226	431	26	58	98	31
CTRL00057	CTRL	501	495	415	382	275	728	77	101	221	52
CTRL00058	CTRL	1009	1004	702	528	763	1060	69	275	501	142
CTRL00059	CTRL	1065	754	893	367	745	1822	362	219	392	188
CTRL00060	CTRL	1821	1355	1351	1641	1211	2156	355	481	686	240
CTRL00061	CTRL	945	860	602	595	765	1265	207	251	276	99
CTRL00062	CTRL	935	780	866	417	799	1078	107	266	260	165
CTRL00063	CTRL	1865	1082	1679	1066	1314	2335	462	374	730	248
CTRL00064	CTRL	271	305	292	200	278	378	38	110	99	41
CTRL00065	CTRL	2023	1635	1475	1413	1287	2045	390	437	643	265
CTRL00066	CTRL	366	174	288	274	318	395	115	72	147	52
CTRL00067	CTRL	778	549	571	377	523	698	84	184	261	164
CTRL00068	CTRL	1491	1468	1257	986	1339	1768	236	313	622	296
CTRL00069	CTRL	15	18	4	4	3	5	4	3	9	0
CTRL00070	CTRL	1004	640	627	358	579	1428	155	160	358	103
CTRL00071	CTRL	983	432	623	336	538	1071	108	162	369	116
CTRL00072	CTRL	596	501	464	445	436	777	192	116	269	119
CTRL00073	CTRL	614	308	228	324	526	1072	136	198	315	90
CTRL00074	CTRL	728	579	533	368	481	835	105	234	336	73
CTRL00075	CTRL	1088	545	1039	628	868	1557	313	280	316	171
CTRL00076	CTRL	931	731	611	481	497	1046	65	220	220	91
CTRL00077	CTRL	2430	2130	1950	1813	1769	2925	666	528	793	288
CTRL00078	CTRL	2834	3205	2442	1534	2173	3240	704	702	1257	597
CTRL00079	CTRL	3065	1921	2076	1490	2155	4130	582	821	1206	392
CTRL00080	CTRL	377	240	240	114	277	266	100	75	182	70
CTRL00081	CTRL	979	1166	1175	1295	744	1033	293	289	353	145
CTRL00082	CTRL	839	540	693	408	543	1151	189	190	329	120
CTRL00083	CTRL	171	218	172	77	251	330	94	60	142	51
CTRL00084	CTRL	795	863	643	562	489	859	206	196	272	160
CTRL00085	CTRL	645	556	371	475	339	705	178	182	192	103
CTRL00086	CTRL	1615	1009	1105	796	1147	1570	276	508	562	285
CTRL00087	CTRL	1230	905	662	652	661	690	273	312	420	251
CTRL00088	CTRL	340	424	385	228	258	310	88	149	118	57
CTRL00089	CTRL	324	349	264	320	214	579	163	107	47	46
CTRL00090	CTRL	1136	715	622	247	479	1041	334	226	336	171
CTRL00091	CTRL	999	533	656	387	636	895	113	271	436	96
CTRL00092	CTRL	92	79	78	100	103	171	48	41	80	25
CTRL00093	CTRL	530	434	312	294	326	391	65	194	140	115
CTRL00094	CTRL	2115	1308	1164	709	1270	2150	419	426	756	365
CTRL00095	CTRL	966	733	805	523	610	1102	121	251	244	122
CTRL00096	CTRL	558	368	489	232	426	420	80	123	224	47
CTRL00097	CTRL	780	589	460	315	572	969	213	155	281	81
CTRL00098	CTRL	583	520	408	315	387	453	128	253	244	94
CTRL00099	CTRL	2473	2019	2220	1748	1911	2928	575	559	852	435
CTRL00100	CTRL	916	541	779	667	616	1151	134	168	235	89
CTRL00101	CTRL	1112	1324	941	667	883	942	251	313	506	194
CTRL00102	CTRL	1297	716	1169	1293	1135	1202	327	271	448	149
CTRL00103	CTRL	407	312	205	233	315	488	112	100	136	52
CTRL00104	CTRL	1011	638	740	785	756	1113	162	238	295	158
CTRL00105	CTRL	190	192	117	78	114	230	73	60	153	42
CTRL00106	CTRL	587	280	360	234	407	221	63	93	140	73
CTRL00107	CTRL	937	887	717	539	621	1117	137	264	441	127
CTRL00108	CTRL	638	564	315	319	326	587	118	138	296	90
CTRL00109	CTRL	918	563	704	815	719	844	279	142	372	124
CTRL00110	CTRL	132	42	89	54	74	26	28	25	41	5
CTRL00111	CTRL	1300	1351	1004	1004	920	1378	176	361	532	179
CTRL00112	CTRL	565	657	490	435	614	1008	193	143	331	123
CTRL00113	CTRL	1187	1045	1145	739	870	1369	316	368	581	251
CTRL00114	CTRL	719	627	563	284	578	849	98	137	247	92
CTRL00115	CTRL	299	261	198	124	203	545	126	124	199	94
CTRL00116	CTRL	1098	1144	1004	608	1010	1200	422	244	437	190
CTRL00117	CTRL	444	289	242	199	171	278	42	111	140	58
CTRL00118	CTRL	1515	735	1236	755	1047	1791	168	261	586	167
CTRL00119	CTRL	1934	1470	1707	1201	1319	2738	238	426	604	220
CTRL00120	CTRL	1707	1622	1537	1016	1451	2801	498	537	636	239
CTRL00121	CTRL	672	415	536	662	406	676	86	174	239	71
CTRL00122	CTRL	1291	679	1008	888	943	1622	256	317	455	182
CTRL00123	CTRL	1845	880	1324	813	1310	2300	433	534	518	237
CTRL00124	CTRL	710	465	590	284	492	779	213	245	321	111
CTRL00125	CTRL	626	505	449	351	517	1090	198	162	275	106
CTRL00126	CTRL	878	496	751	521	511	1162	260	228	281	158
CTRL00127	CTRL	1818	1931	1671	1393	1347	2816	329	670	714	237
CTRL00128	CTRL	2064	1946	1467	1210	1221	2396	548	578	656	286
CTRL00129	CTRL	430	248	342	147	231	465	95	43	205	43
CTRL00130	CTRL	396	272	322	244	262	394	18	101	151	49
CTRL00131	CTRL	1036	660	502	631	708	893	218	315	387	108
CTRL00132	CTRL	425	314	348	120	267	566	68	116	181	64
CTRL00133	CTRL	504	429	596	410	482	598	248	139	224	141
CTRL00134	CTRL	705	369	636	637	635	1341	176	205	267	165
CTRL00135	CTRL	648	944	803	700	516	998	196	262	348	121
CTRL00136	CTRL	656	750	647	337	507	706	39	137	190	73
CTRL00137	CTRL	950	536	367	359	331	620	142	182	157	71
CTRL00138	CTRL	620	597	501	331	418	745	155	208	220	125
CTRL00139	CTRL	1662	1232	1763	1058	1297	1580	273	313	734	263
CTRL00140	CTRL	321	213	261	94	329	497	53	51	194	36
CTRL00141	CTRL	870	484	520	257	400	1232	114	218	273	128
CTRL00142	CTRL	559	421	497	241	460	1087	62	82	217	119
CTRL00143	CTRL	1316	1193	1063	865	1334	1455	347	390	547	259
CTRL00144	CTRL	432	482	292	220	285	737	164	122	128	59
CTRL00145	CTRL	348	552	366	245	447	492	72	134	119	53
CTRL00146	CTRL	270	197	202	206	201	393	153	68	114	29
CTRL00147	CTRL	387	171	315	217	214	272	36	110	101	44
CTRL00148	CTRL	768	760	457	602	502	816	135	205	277	148
CTRL00149	CTRL	938	790	684	651	752	655	54	103	293	78
CTRL00150	CTRL	1030	552	654	749	646	897	83	179	293	124
CTRL00151	CTRL	1871	1314	1419	1052	1206	1601	384	436	587	281
CTRL00152	CTRL	463	399	288	239	247	393	68	101	145	74
CTRL00153	CTRL	251	259	329	165	238	464	40	77	83	61
CTRL00154	CTRL	1128	841	1119	787	828	1923	258	274	422	133
CTRL00155	CTRL	1031	976	724	791	633	1274	147	311	417	147
CTRL00156	CTRL	1357	918	1048	672	854	1667	427	134	571	169
CTRL00157	CTRL	1069	1292	805	1061	874	955	174	210	503	172
CTRL00158	CTRL	869	615	682	475	629	1333	106	203	380	113
CTRL00159	CTRL	68	75	73	110	59	161	57	38	58	15
CTRL00160	CTRL	771	319	548	430	567	630	148	283	179	118
CTRL00161	CTRL	316	229	252	218	129	524	39	74	167	82
CTRL00162	CTRL	1324	1080	1231	860	808	1320	270	382	625	192
CTRL00163	CTRL	167	113	134	166	128	171	53	52	94	11
CTRL00164	CTRL	291	471	458	262	266	420	78	43	102	86
CTRL00165	CTRL	854	668	748	741	977	1129	247	223	362	147
CTRL00166	CTRL	870	569	748	577	669	1529	193	274	289	164
CTRL00167	CTRL	177	854	216	281	163	545	34	71	120	41
CTRL00168	CTRL	809	574	1062	672	638	1191	238	223	409	177
CTRL00169	CTRL	481	291	346	230	258	451	112	123	179	103
CTRL00170	CTRL	864	749	562	655	720	933	277	222	337	105
CTRL00171	CTRL	341	382	371	323	228	458	90	67	140	80
CTRL00172	CTRL	1143	901	1131	1116	842	1269	384	295	427	235
CTRL00173	CTRL	864	371	808	513	651	1129	188	176	358	141
CTRL00174	CTRL	713	540	660	438	583	1060	271	178	335	119
CTRL00175	CTRL	255	195	326	112	338	286	96	103	129	45
CTRL00176	CTRL	725	676	593	327	447	904	167	130	230	148
CTRL00177	CTRL	852	498	792	513	739	839	262	234	315	202
CTRL00178	CTRL	587	678	591	214	363	570	119	117	196	136
CTRL00179	CTRL	489	381	403	182	386	813	126	163	171	47
CTRL00180	CTRL	514	427	396	341	388	849	82	143	166	49
CTRL00181	CTRL	1131	1000	927	721	817	1753	315	377	369	224
CTRL00182	CTRL	1067	613	802	463	950	1182	414	291	418	177
CTRL00183	CTRL	2124	1778	1848	1469	1303	2142	350	523	661	223
CTRL00184	CTRL	1841	1424	1359	1125	1095	2192	353	460	592	254
CTRL00185	CTRL	192	123	176	48	85	356	56	97	59	42
CTRL00186	CTRL	372	508	450	200	269	447	149	97	185	59
CTRL00187	CTRL	406	275	434	182	274	372	66	120	143	54
CTRL00188	CTRL	1241	550	869	706	1018	1878	197	263	566	162
CTRL00189	CTRL	101	36	128	90	140	297	0	11	138	40
CTRL00190	CTRL	943	713	636	543	627	1622	165	316	410	194
CTRL00191	CTRL	458	264	186	141	263	543	122	71	259	55
CTRL00192	CTRL	1858	1340	1459	1059	1607	2890	570	468	841	373
CTRL00193	CTRL	1929	1616	1708	978	1671	2303	634	480	840	267
CTRL00194	CTRL	790	357	838	508	765	1311	128	245	294	96
CTRL00195	CTRL	621	564	449	760	416	686	117	204	218	81
CTRL00196	CTRL	309	232	256	159	264	272	83	93	110	28
CTRL00197	CTRL	339	426	203	437	179	246	32	83	86	57
CTRL00198	CTRL	306	378	254	429	268	343	33	78	157	53
CTRL00199	CTRL	3831	3209	3013	2424	2541	4061	761	732	1343	464
CTRL00200	CTRL	910	681	693	488	526	870	147	165	369	204
CTRL00201	CTRL	506	396	549	209	512	678	85	98	120	70
CTRL00202	CTRL	1422	1298	1470	891	1340	2747	473	498	590	240
CTRL00203	CTRL	2918	3387	2821	1311	2444	3480	678	735	1251	428
CTRL00204	CTRL	877	747	875	465	799	1151	149	141	368	109
CTRL00205	CTRL	368	299	474	484	512	667	217	66	205	79
CTRL00206	CTRL	1449	857	683	668	814	1356	168	234	349	176
CTRL00207	CTRL	685	350	411	290	407	775	138	248	235	128
CTRL00208	CTRL	902	1015	623	378	771	1477	310	310	518	172
CTRL00209	CTRL	648	326	702	162	367	803	92	130	198	70
CTRL00210	CTRL	2965	2057	1990	1759	2144	4691	571	675	1205	532
CTRL00211	CTRL	562	263	389	318	252	560	101	78	227	76
CTRL00212	CTRL	358	100	269	181	198	262	38	96	137	48
CTRL00213	CTRL	462	495	749	467	479	719	135	121	229	67
CTRL00214	CTRL	400	486	305	330	326	702	58	108	231	43
CTRL00215	CTRL	219	55	159	69	126	77	50	57	105	34
CTRL00216	CTRL	1964	1673	2253	1437	1354	2201	503	259	775	296
CTRL00217	CTRL	373	359	749	468	386	614	132	63	254	106
CTRL00218	CTRL	745	1053	797	517	503	990	57	148	394	118
CTRL00219	CTRL	336	300	491	312	332	739	40	86	200	90
CTRL00220	CTRL	808	409	646	751	815	1599	162	206	485	165
